concept URI,concept prefLabel,field,old value,new value,action,language
http://data.europa.eu/esco/skill/10cade4f-df4d-4408-8924-5994976fc798,operate a camera,altLabel,use photographic  or television equipment to capture moving images,use photographic or television equipment to capture moving images,Updated,en
http://data.europa.eu/esco/skill/556a0f07-b5f2-4dc5-ba00-5b3f60c90643,maintain moulds,description,"Maintain, repair and clean moulds and mould parts, e.g. by smoothening out imperfections on the surface. Use water, grease or oil to wash and scrape the moulds by hand. ","Maintain, repair and clean moulds and mould parts, e.g. by smoothening out imperfections on the surface. Use water, grease or oil to wash and scrape the moulds by hand.",Updated,en
http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450,sell tourist packages,description,Exchange tourist services or packages for money on behalf of the tour operator and manage transportation and accommodation.,Exchange tourist services or packages for money on behalf of the tour operator and manage transportation and accommodation.,Updated,en
http://data.europa.eu/esco/skill/1cbeb169-76fe-4865-be00-6c7618c5fd9f,deliberate prior learning assessment results,altLabel,establish prior learning assessment results ,establish prior learning assessment results,Updated,en
http://data.europa.eu/esco/skill/df0aa404-3f87-4f35-b6e9-969b05068704,be in touch with your body,description,"The key aspects of applied anatomy, psychology, nutrition, physiology, and psychosocial studies and how they relate to the self-awareness of one's body. ","The key aspects of applied anatomy, psychology, nutrition, physiology, and psychosocial studies and how they relate to the self-awareness of one's body.",Updated,en
http://data.europa.eu/esco/skill/9c2dc96b-5d53-4d26-8d90-644d10c3ba1c,create landscape designs,altLabel, landscape designs drawing,landscape designs drawing,Updated,en
http://data.europa.eu/esco/skill/29dcc31e-a8d6-4a62-b3c1-2de81e966e39,gathering information from physical or electronic sources,scopeNote,"Examples:
- collect customer data
- gather reference materials
- obtain financial information

Excludes:
- Skills in the use of specific ICT tools to process data
","Examples:
- collect customer data
- gather reference materials
- obtain financial information Excludes:
- Skills in the use of specific ICT tools to process data.",Updated,en
http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,analysing business operations,scopeNote,"Excludes:
- Using ICT tools to analyse and process data.

Examples:
- Perform business analysis
- Conduct feasibility studies","Excludes:
- Using ICT tools to analyse and process data. Examples:
- Perform business analysis
- Conduct feasibility studies.",Updated,en
http://data.europa.eu/esco/skill/82507f16-5b2f-4efa-a4da-d326afd7fcd8,interfere with enemy communications,altLabel,obstruct  enemy communications,obstruct enemy communications,Updated,en
http://data.europa.eu/esco/skill/8779e8a1-45a8-4f51-b42a-2ea07ee4e8cd,apply colouring recipes,prefLabel,apply colouring recipes ,apply colouring recipes,Updated,en
http://data.europa.eu/esco/skill/48e10631-64c1-4831-8518-a6a992ae0a13,documentation concerning meat production,altLabel,use documentation  concerning meat production,use documentation concerning meat production,Updated,en
http://data.europa.eu/esco/skill/f6424ebb-8401-446b-9f7e-10d7c854da02,ICT network simulation,altLabel,,ICT network simulation tools,Added,en
http://data.europa.eu/esco/skill/246c0425-b9f8-44db-b989-4f4385732413,communicate specialised veterinary information,altLabel,communicate specialized  veterinary information,communicate specialized veterinary information,Updated,en
http://data.europa.eu/esco/skill/11877887-d81e-4fdd-865a-e47a40b6707d,study communications channels for different employers/contractors,description,"Research and test target employers/contractors and find out what ways they prefer to access  work, contact, etc.","Research and test target employers/contractors and find out what ways they prefer to access work, contact, etc.",Updated,en
http://data.europa.eu/esco/skill/8e8a476a-d97b-4d12-83d0-d3fd92da5b2c,analyse reports provided by passengers,altLabel,analyze  reports provided by passengers,analyze reports provided by passengers,Updated,en
http://data.europa.eu/esco/skill/d16bc537-ede5-440e-a921-7e9c5e995633,understand written Chinese,altLabel,,read Cantonese,Added,en
http://data.europa.eu/esco/skill/99b3532b-2f47-47f5-b194-708957acf0a8,understand spoken Basque,altLabel,understand Basque  speech,understand Basque speech,Updated,en
http://data.europa.eu/esco/skill/6b28bb69-a6ef-42d4-84df-46e498f09297,disability types,description,"The nature and types of disabilities affecting the human beings such as physical, cognitive, mental, sensory, emotional or developmental and the specific needs and access requirements of disabled people.","The nature and types of disabilities affecting the human beings such as physical, cognitive, mental, sensory, emotional or developmental and the specific needs and access requirements of disabled people.",Updated,en
http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08,electronics,description,"The functioning of electronic circuit boards, processors, chips, and computer hardware and software, including programming and applications. ","The functioning of electronic circuit boards, processors, chips, and computer hardware and software, including programming and applications.",Updated,en
http://data.europa.eu/esco/skill/99095ca0-1218-462d-9e95-79e334ba8b63,analyse transport studies,altLabel,analyze  transport studies,analyze transport studies,Updated,en
http://data.europa.eu/esco/skill/eafa1c07-c1ab-4631-90da-6c93d24d9b69,drive timber piles,altLabel,drive lumber  piles,drive lumber piles,Updated,en
http://data.europa.eu/esco/skill/4095c6dd-3b00-44d1-9308-878e08737e92,create advocacy material,altLabel,design campaigning and enabling  material,design campaigning and enabling material,Updated,en
http://data.europa.eu/esco/skill/33d49d4f-31ec-473f-9b8a-b555aa5116bb,iterative development,description,The iterative development model is a methodology to design software systems and applications.,The iterative development model is a methodology to design software systems and applications.,Updated,en
http://data.europa.eu/esco/skill/41ec47dd-08b3-464a-9c45-c706f3e74467,industrial software,altLabel,production software,software for production processes,Updated,en
http://data.europa.eu/esco/skill/d59012cb-1362-41db-b431-f0cc5bf44bc4,food homogenisation,description,"The procedures, machines and reciped used to mix different foodstuffs and solutions by transforming them through high pressure and acceleration processes into an uniform fluid or product. ","The procedures, machines and reciped used to mix different foodstuffs and solutions by transforming them through high pressure and acceleration processes into an uniform fluid or product.",Updated,en
http://data.europa.eu/esco/skill/b309d4f5-56f5-41c6-b712-92d1ed85b965,performing administrative activities,description,"Performing administrative tasks such as typing up reports, ordering supplies, maintaining mail correspondence,  and ensuring administrative systems, processes and databases are efficient.","Performing administrative tasks such as typing up reports, ordering supplies, maintaining mail correspondence, and ensuring administrative systems, processes and databases are efficient.",Updated,en
http://data.europa.eu/esco/skill/baf1fadb-975a-42be-9744-d8ba02304d09,Samurai Web Testing Framework,altLabel,,OWASP Samurai WTF,Added,en
http://data.europa.eu/esco/skill/f1612d7a-0338-4b0f-a2a4-86b5168e2596,collecting and preparing specimens or materials for testing,scopeNote,"Examples:
- Prepare chemical samples
- Collect samples for analysis","Examples:
- Prepare chemical samples
- Collect samples for analysis.",Updated,en
http://data.europa.eu/esco/skill/83b33952-3872-46ec-9a2e-b28f91303a7e,oversee development of software,altLabel,,oversee development of applications,Added,en
http://data.europa.eu/esco/skill/5785d5e2-716c-48a6-b463-dfd02349793d,arrange event needs,description,"Ensure that event needs such as audio-visual equipment, displays or transportation are met.  ","Ensure that event needs such as audio-visual equipment, displays or transportation are met.",Updated,en
http://data.europa.eu/esco/skill/d16bc537-ede5-440e-a921-7e9c5e995633,understand written Chinese,altLabel,,correspond in written Chinese,Added,en
http://data.europa.eu/esco/skill/687010cd-3f09-45c1-b6f8-0b860c129699,oversee promotional sales prices,altLabel,control  promotional sales prices,control promotional sales prices,Updated,en
http://data.europa.eu/esco/skill/441707bb-9ad3-406c-9975-a6bec96f537b,"empower individuals, families and groups",altLabel,"empower an individual, a family  and a group","empower an individual, a family and a group",Updated,en
http://data.europa.eu/esco/skill/c4376e35-add7-43a0-8b2e-f5741f0df8fe,carrying out forensic and police investigations,description,Performing police or forensic investigations to increase knowledge related to crime. ,Performing police or forensic investigations to increase knowledge related to crime.,Updated,en
http://data.europa.eu/esco/skill/34e0f023-0ca9-4f64-a932-3248bb4ed5df,interview bank loanees,altLabel,have a discussion with  bank loanees,have a discussion with bank loanees,Updated,en
http://data.europa.eu/esco/skill/c6d43089-8855-4da5-9b8b-ace87281476e,manage timber stocks,altLabel,manage lumber  stocks,manage lumber stocks,Updated,en
http://data.europa.eu/esco/skill/2258cde2-a95b-4b2c-b105-59e84b0a364b,managing and administering human resources,scopeNote,"Examples:
- manage personnel
- plan shifts of employees

Excludes:
- delegate activities","Examples:
- manage personnel
- plan shifts of employees Excludes:
- delegate activities.",Updated,en
http://data.europa.eu/esco/skill/e1dedd64-96dc-4ddc-834c-e1b1d5948f0a,create theatre workbooks,altLabel,create theater  workbooks,create theater workbooks,Updated,en
http://data.europa.eu/esco/skill/bb562019-5222-45db-a16c-730edbb1d27c,define ICT network design policies,altLabel,,define ICT network architecture framework,Added,en
http://data.europa.eu/esco/skill/1de3942b-99d8-41e8-9ef0-fbc9e9f6307b,Drupal,altLabel,,Drupal web platform,Added,en
http://data.europa.eu/esco/skill/0b41f1ca-73b1-470e-a425-ba3e9c1b6e0b,maintain safety systems,description,Perform activities for the maintenance of  fire fighting and related safety systems.,Perform activities for the maintenance of fire fighting and related safety systems.,Updated,en
http://data.europa.eu/esco/skill/9bfae677-2b7f-49bf-b7eb-2ade795df734,prepare digital art for master photograph,altLabel,digital art preparation for  master copy,digital art preparation for master copy,Updated,en
http://data.europa.eu/esco/skill/60358919-aa4c-4fc4-b687-14597dbbc752,perform reconstructive microsurgery,description,"Transfer tissue to cover a defect, removing healthy tissue from one part of the body, and move it to another site on the body and reconnecting it to a blood supply by suturing arteries and veins, using miniturized instruments and/or a microscope","Transfer tissue to cover a defect, removing healthy tissue from one part of the body, and move it to another site on the body and reconnecting it to a blood supply by suturing arteries and veins, using miniturized instruments and/or a microscope.",Updated,en
http://data.europa.eu/esco/skill/0c8f5f32-a286-4f88-b9e9-d7e7f3a3684b,develop aquaculture hatchery business plan,description,Develop and implement an aquaculture hatchery business plan,Develop and implement an aquaculture hatchery business plan.,Updated,en
http://data.europa.eu/esco/skill/deb31109-4bc6-4aa8-8ca1-d2c422403e03,follow ethical code of conduct in tourism,altLabel,follow ethical conduct code  in tourism,follow ethical conduct code in tourism,Updated,en
http://data.europa.eu/esco/skill/8316979b-df5a-4dc7-98ef-61ec6a10df84,conduct quantitative research,altLabel,,apply quantitative research methods,Added,en
http://data.europa.eu/esco/skill/c57fbedb-6e0b-49cf-9ba2-cf431d61972e,manage claims process,altLabel,supervise  claims process,supervise claims process,Updated,en
